Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,171793260.69,7496660.46,20658815.10,72014,0,82030,0,169073,0,12279,0,707,0.7421644672335699,125484
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,228130395.46,5449667.76,2034030.00,67173,0,25570,0,144697,0,23550,0,939,0.9333825562427994,205368
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,28594997.65,550972.10,170220.00,10409,0,9980,0,22943,0,1781,0,150,0.7237807943536683,17724
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,122762043.90,74137933.08,71822736.00,62163,0,30017,0,140525,0,20607,0,534,0.9543006660534211,211920
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,74111164.09,21760520.23,47165097.00,19854,0,9254,0,45456,0,8985,0,834,0.3984713875122143,172200
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,56789603.98,14599483.38,37450362.00,20645,0,8639,0,48543,0,8544,0,259,0.9489889136288202,75456
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,31849152.83,19677907.41,6700612.55,16905,0,8720,0,37076,0,5352,0,471,0.9196566996859804,55356
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,36982763.10,19024768.53,9249731.00,17820,0,10030,0,39623,0,6016,0,491,0.9164629179949815,58560
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,24642225.98,7083408.57,9124175.38,10227,0,5680,0,23527,0,4204,0,426,0.9081672427219376,35112
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,244169308.35,0.00,0,84102,0,33089,0,193177,0,32500,971,0.9777529228697402,330636
