confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",five,Australia,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",five,Canada,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 29}",five,New Zealand,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",five,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 70}",five,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Australia,Canada,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",Australia,New Zealand,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",Australia,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 51}",Australia,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Canada,New Zealand,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 15}",Canada,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 43}",Canada,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",New Zealand,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",New Zealand,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 99}",New Zealand,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",the United Kingdom,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 79}",the United Kingdom,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 34}",United States.[1][2][3][4][5]</p>\n,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 65}",five,li>Webshell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 78}",five,China,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",li>Webshell,China,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,952,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,905,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,961,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 13}",First,May 2015,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 85}",May 2015,Frutas,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",Frutas,2012.</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,528,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Advanced Persistent Threat,APT,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 86}",Advanced Persistent Threat,Quasar,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 81}",APT,Quasar,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1259,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 9}",Windows,MAC,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",5,964,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 89}",early 2017,Society for Worldwide Interbank Financial Telecommunication,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 11}",Windows Registry,Task,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 32}",Windows Registry,li>Significant,related_to
